0,gold formula
x_[[x_x_x_x_x_x_     x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_                 x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x,"not ( ( ( not ( ( always[19,27] ( always[2,15] ( x_2 <= 1.0045 ) ) and eventually[19,29] ( ( x_2 <= 0.6213 or x_0 <= -1.3758 ) ) ) ) until not ( always ( ( ( x_0 <= -0.3774 or x_1 <= 0.9452 ) or ( x_0 >= 1.6558 and x_0 <= -0.2968 ) ) ) ) ) until[20,inf] not ( always ( always[10,35] ( always ( not ( x_1 <= -0.4334 ) ) ) ) ) ) )"
x_[[x_x_x_x_x_    x_x_x_x_x_x_x_x_x_x_x_x_x_x_           x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_                       x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_                          x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_ x_                          x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_ x_ x_ x_ x_ x_ x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x,"always[11,inf] ( always[16,28] ( ( ( ( not ( always[3,20] ( x_2 >= -0.5987 ) ) and ( eventually[13,25] ( x_1 <= 0.0085 ) or ( x_1 <= -1.8364 or x_0 >= 0.4954 ) ) ) until[25,30] not ( ( always ( x_0 >= 0.7046 ) or ( x_1 <= -0.6362 and x_1 <= 1.9398 ) ) ) ) or ( ( ( ( x_0 <= 0.0871 or x_0 >= 0.2028 ) and ( x_1 <= -0.8521 until[18,inf] x_1 <= 0.0943 ) ) until[4,8] eventually[13,inf] ( ( x_2 >= -0.2336 or x_0 >= -1.3776 ) ) ) or ( ( always[19,29] ( x_2 <= -0.4098 ) or not ( x_2 <= 0.3467 ) ) or always[3,15] ( not ( x_0 <= -0.1341 ) ) ) ) ) ) )"
"[1,1 ] x_1 1 1 1 1 x_1 ) ) ,1 ,1 ,1 ] x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1  x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1   x_ x_1 x_1 x_1 x_1 x_1    x_1 x_1 x_1 x_1 x_1 x_1 x_1   x_1 x_1 x_1 x_1    x_1      x_1 x_1   x_1       x_1   x_1 ,1         [1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1  x_1  x_1  x_1 x_1   x_1   x_1  x_1    x_1    x_1        [1 1 ,1 ,1    x_1    [[1 1 ,1 ,1 ,1     [[1 ,1 ,1 ,1   ,1 ,1 ,1 ,1 ,1    ,1 ,1 ,1 ,1 ,1 ,1   ,1 ,1 ,1 ,1 ,1    ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ","eventually[7,inf] ( eventually[8,11] ( ( not ( ( ( ( x_2 <= 0.1173 and x_0 <= -0.9401 ) and not ( x_1 >= 1.3696 ) ) until[5,15] always[12,31] ( ( x_0 <= -0.5488 until[15,34] x_0 >= -1.0739 ) ) ) ) and ( ( always[12,19] ( ( x_1 >= 1.1153 and x_2 <= -0.2065 ) ) and always[6,8] ( eventually[28,inf] ( x_1 <= 0.0624 ) ) ) or ( always[23,27] ( not ( x_0 >= 0.0209 ) ) or eventually[18,21] ( ( x_2 >= -0.0799 until[25,inf] x_2 <= 2.5045 ) ) ) ) ) ) )"
  [19 x_2 x_1 1 1 1 1 1 1 1 1 1 1 1 1 x_1 1 1 1 1 x_1 1 1 1 x_1 1 1 1 x_1 1 x_1 1                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"not ( always[15,17] ( always[23,31] ( ( not ( ( ( x_1 <= 0.4417 until[1,23] x_1 >= 0.4737 ) until not ( x_1 >= -1.4653 ) ) ) and ( eventually[6,21] ( not ( x_0 >= 1.032 ) ) and ( not ( x_2 >= 1.9005 ) until[19,24] ( x_1 >= 0.8116 and x_2 <= 0.2426 ) ) ) ) ) ) )"
x_x_x_x_x_   x_x_x_x_x_x_x_          x_x_x_x_x_x_x_x_x_x_x_                                   x_1 x_1               x_1                                                                                                                                                                                                                                                                                                                                                                                              x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x,"always[29,35] ( always[7,31] ( not ( not ( ( eventually[13,22] ( ( x_0 >= 0.223 until[4,15] x_1 <= 1.2842 ) ) or ( ( x_2 >= -0.4738 until[12,21] x_2 <= 0.5003 ) or not ( x_1 <= -0.953 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"always ( always[14,32] ( ( always[1,24] ( eventually ( eventually[4,inf] ( ( x_2 >= -0.4152 or x_1 <= 0.3262 ) ) ) ) and ( eventually ( ( ( x_1 <= 0.906 and x_0 >= -0.1461 ) and not ( x_1 <= 0.4139 ) ) ) or not ( ( eventually[22,26] ( x_0 >= -2.2088 ) or always[13,19] ( x_2 >= -1.0242 ) ) ) ) ) ) )"
22222222323233333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333232323232323232323232323232323232323232323232323232323232323232323232,"always[21,32] ( not ( not ( always[13,inf] ( ( ( ( x_0 <= -0.3013 until[9,21] x_0 <= 0.4068 ) and ( x_0 <= 0.7039 and x_0 <= -0.3611 ) ) and not ( ( x_2 >= 0.9842 and x_0 >= 0.0785 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"eventually[23,33] ( eventually[27,34] ( not ( ( eventually[9,19] ( ( not ( x_1 <= 0.3353 ) and ( x_2 <= 2.0583 or x_1 >= -0.4147 ) ) ) or not ( ( ( x_2 <= -1.0676 and x_0 >= 0.32 ) until[0,inf] ( x_0 <= 1.5477 until[28,34] x_1 >= 0.535 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"not ( ( eventually[17,20] ( ( ( ( ( x_1 >= -0.0986 until[31,33] x_0 <= -0.6436 ) and always[34,36] ( x_1 >= 0.2301 ) ) or ( ( x_0 >= -1.0266 and x_2 <= 0.2111 ) until[8,21] always[17,24] ( x_1 >= -0.2698 ) ) ) and always[16,24] ( not ( ( x_2 >= 0.6745 or x_1 <= -1.5586 ) ) ) ) ) or not ( always[1,5] ( ( ( ( x_2 >= -0.0074 until[27,inf] x_0 <= -1.1802 ) until[7,20] ( x_0 <= -0.6662 or x_1 <= -0.2763 ) ) and not ( ( x_0 >= -2.2432 or x_1 >= -1.4576 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"eventually ( ( eventually[10,13] ( ( eventually[20,35] ( ( ( x_0 <= 2.4946 until[4,inf] x_1 >= 0.0175 ) until[8,inf] not ( x_0 <= 0.691 ) ) ) or not ( not ( eventually[15,19] ( x_2 >= 0.6332 ) ) ) ) ) and ( eventually[6,36] ( ( not ( always ( x_2 >= -0.1553 ) ) or ( always[7,13] ( x_0 >= 1.9398 ) and not ( x_0 >= 0.3836 ) ) ) ) or ( not ( not ( ( x_1 <= 0.9734 or x_2 >= -0.3533 ) ) ) or eventually[32,35] ( ( ( x_2 <= -1.5312 or x_1 <= 1.4161 ) or always[26,inf] ( x_2 >= -1.072 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"( eventually[23,25] ( not ( ( ( ( ( x_1 <= -0.5653 until[19,31] x_1 <= 0.2217 ) and always[16,27] ( x_0 >= 0.7669 ) ) or not ( ( x_1 <= -1.3857 until[34,36] x_2 >= -1.1994 ) ) ) and ( always[20,inf] ( eventually[17,24] ( x_2 >= -1.3576 ) ) and always[6,33] ( not ( x_1 >= 0.2051 ) ) ) ) ) ) until[6,17] always[4,inf] ( not ( ( not ( ( eventually[8,inf] ( x_1 <= 0.9277 ) and ( x_2 >= -1.2999 until[7,12] x_1 <= 0.4295 ) ) ) or not ( always[10,inf] ( ( x_0 <= -1.1506 or x_1 >= 1.2347 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"always[19,27] ( not ( not ( ( ( ( ( x_0 >= -1.1741 or x_0 >= -0.0954 ) and ( x_1 >= 2.3859 until[11,28] x_2 <= 0.1477 ) ) and always[12,23] ( ( x_1 <= -0.2503 and x_2 >= -1.1835 ) ) ) until[4,12] ( not ( eventually[32,35] ( x_2 >= 1.5973 ) ) until ( ( x_1 <= -0.764 or x_1 >= 0.476 ) or not ( x_2 <= -0.166 ) ) ) ) ) ) )"
