,balanced512_step24000,easysk512_step24000,hardsk512_24000,old512_step24000,gold formula
13,not ( ( ( x_2 >= 0.233 or x_2 >= 0.223 ) or ( x_2 >= 0.233 or x_2 >= -0.223 ) ) ),not ( ( ( x_2 >= -0.1055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 or x_2 >= -0.0005 ) ) ),not ( not ( not ( x_2 >= 0.3391 ) ) ),"eventually[1,13] ( x_2 <= 0.2223 )","always[0,17] ( x_2 <= 0.2851 )"
14,"( ( ( x_2 >= 0.5332 or x_2 >= -0.5332 ) and ( x_2 >= 0.7332 or x_2 >= -0.6332 ) ) until[1,22] ( ( x_2 >= 0.7332 or x_1 >= -0.6332 ) or ( x_2 >= -0.6332 or x_2 >= -0.6332 ) ) )","( ( ( ( x_2 >= -0.0055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 and x_2 >= -0.0005 ) ) or ( ( x_2 >= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.1555 until[10,25] x_2 >= -0.0555 ) ) ) until[1,10] ( ( ( x_2 >= -0.0555 or x_2 >= -0.0505 ) or ( x_2 >= -0.0555 or x_2 >= -0.0555 ) ) or ( ( x_0 >= -0.1555 or x_2 >= -0.0505 ) or ( x_0 <= -0.1555 or x_2 >= -0.0555 ) ) ) )","( ( ( x_2 >= 0.5661 or x_2 >= -0.6691 ) or ( x_2 >= 0.8697 or x_2 >= -0.8697 ) ) until[10,25] ( ( x_2 >= -0.6697 or x_2 >= -0.6697 ) or ( x_0 >= -0.0397 or x_2 >= -0.0397 ) ) )","eventually[1,13] ( x_2 >= 0.8266 )","eventually[17,20] ( x_2 >= 0.8623 )"
15,( ( ( x_2 <= -0.233 or x_2 <= -0.323 ) and ( x_2 <= -0.333 or x_2 <= -0.363 ) ) and ( ( x_2 <= -0.363 or x_2 <= -0.363 ) or ( x_2 <= -0.363 and x_2 <= -0.363 ) ) ),"( ( ( ( x_2 <= -0.2055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) and ( x_0 <= -0.2005 or x_2 <= -0.0005 ) ) ) until[1,10] ( ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.2005 or x_2 <= -0.2005 ) or ( x_0 <= -0.2205 or x_2 <= -0.2605 ) ) ) )",( ( ( x_2 <= -0.0391 or x_2 <= -0.039 ) or ( x_2 <= -0.0397 and x_2 <= -0.0397 ) ) and ( ( x_0 <= -0.0997 or x_2 <= -0.0397 ) and ( x_0 <= -0.0997 and x_2 <= -0.0997 ) ) ),"( x_2 <= -0.3229 until[19,21] x_2 <= -0.3222 )","eventually ( ( ( always[3,13] ( always[10,20] ( ( ( x_0 >= -0.9537 and ( x_0 >= -0.8489 or x_1 >= -2.1671 ) ) or ( x_1 <= -1.4429 or ( ( x_1 >= -0.1098 and ( ( always[8,inf] ( not ( x_0 >= 0.2555 ) ) until x_0 <= -0.1813 ) and ( x_1 >= 1.6089 or always ( x_0 <= -0.9625 ) ) ) ) and ( x_0 <= -0.4067 until[9,14] always[17,inf] ( x_2 <= 0.3486 ) ) ) ) ) ) ) or x_2 <= -2.3418 ) and x_2 <= -0.3233 ) )"
16,( ( ( x_2 <= -0.533 or x_2 <= -0.533 ) and ( x_2 <= -0.533 or x_2 <= -0.626 ) ) and ( ( x_2 <= -0.636 or x_2 <= -0.663 ) or ( x_2 <= -0.663 and x_2 <= -0.666 ) ) ),"( ( ( ( x_2 <= -0.5055 and x_2 <= -0.7005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) and ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) ) until[1,10] ( ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) ) )",( ( ( x_2 <= -0.5391 or x_2 <= -0.599 ) or ( x_2 <= -0.5997 and x_2 <= -0.6997 ) ) and ( ( x_0 <= -0.5997 or x_2 <= -0.5997 ) and ( x_0 <= -0.0997 and x_2 <= -0.0997 ) ) ),"eventually[16,20] ( x_2 <= -0.7222 )","eventually[15,18] ( x_2 <= -0.6953 )"
17,( ( ( x_2 >= 0.3332 or x_2 >= 0.3332 ) and ( x_2 >= 0.3332 or x_2 >= 0.3332 ) ) and ( ( x_2 >= 0.3332 or x_2 >= 0.3332 ) or ( x_1 >= -0.3332 or x_2 >= -0.3632 ) ) ),"( ( ( ( x_2 >= -0.1055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0055 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.1005 and x_2 <= -0.0005 ) and ( x_0 <= -0.1555 and x_2 <= -0.1505 ) ) ) until[1,10] ( ( ( x_2 >= -0.1505 or x_2 >= -0.0005 ) or ( x_0 <= -0.1555 or x_2 <= -0.1505 ) ) or ( ( x_0 >= -0.1555 or x_2 <= -0.1505 ) or ( x_0 <= -0.1555 or x_2 >= -0.1505 ) ) ) )",( ( ( x_2 >= 0.0031 or x_2 >= -0.0097 ) or ( x_2 >= 0.3967 and x_2 >= 0.3997 ) ) and ( ( x_0 >= -0.5697 or x_2 >= -0.0097 ) or ( x_0 >= -0.0097 and x_2 >= -0.0097 ) ) ),"( x_2 >= 0.2223 until[19,21] x_2 >= 0.2223 )","not ( always[15,21] ( ( not ( always[8,19] ( x_0 <= 1.9548 ) ) or x_2 <= 0.2941 ) ) )"
18,not ( ( ( x_2 <= -0.733 or x_2 <= -0.733 ) and ( x_2 <= -0.736 or x_2 <= -0.866 ) ) ),"( ( ( x_2 >= -0.7155 or x_2 <= -0.7055 ) or ( x_2 >= -0.7055 and x_2 >= -0.9005 ) ) or ( ( x_2 >= -0.0005 until[10,22] x_2 >= -0.0005 ) until[10,22] ( x_2 >= -0.0555 or x_2 >= -0.0555 ) ) )",not ( ( ( x_2 <= -0.7693 or x_2 <= -0.9691 ) and ( x_2 <= -0.9697 and x_2 <= -0.9697 ) ) ),not ( x_2 <= -0.7625 ),"always[5,11] ( x_2 >= -0.7778 )"
19,not ( not ( not ( x_2 <= -0.528 ) ) ),( ( ( x_2 <= -0.5155 or x_2 <= -0.5005 ) or ( x_2 <= -0.5005 and x_2 <= -0.5005 ) ) and ( ( x_2 <= -0.5005 or x_2 <= -0.5005 ) and ( x_2 <= -0.2005 or x_2 <= -0.2005 ) ) ),not ( ( ( x_2 >= -0.5993 or x_2 >= -0.5997 ) or ( x_2 >= -0.5997 or x_2 >= -0.5997 ) ) ),not ( x_2 >= -0.5222 ),not ( x_2 >= -0.5734 )
20,not ( ( ( x_2 >= 0.333 or x_2 >= 0.333 ) or ( x_2 >= 0.333 or x_2 >= 0.333 ) ) ),"not ( ( ( ( x_2 >= -0.0555 and x_2 >= -0.0055 ) or ( x_2 >= -0.0005 and x_2 >= -0.0005 ) ) or ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) and ( x_2 >= -0.1525 until[1,20] x_2 >= -0.1505 ) ) ) )",not ( ( ( x_2 >= 0.3393 or x_2 >= 0.5397 ) or ( x_2 >= -0.3397 and x_2 >= 0.5397 ) ) ),"eventually[12,16] ( x_2 <= 0.3223 )","eventually[15,17] ( x_2 <= 0.3346 )"
21,( ( ( x_2 <= 0.233 or x_2 <= 0.223 ) and ( x_0 <= 0.223 or x_0 <= 0.222 ) ) and ( ( x_0 <= 0.263 or x_0 <= 0.262 ) or ( x_0 <= 0.363 and x_2 <= 0.262 ) ) ),( ( ( x_2 <= 0.2055 and x_2 <= 0.0055 ) or ( x_0 <= 0.1055 and x_2 <= 0.0005 ) ) and ( ( x_0 <= 0.2005 or x_2 <= -0.0005 ) and ( x_0 <= -0.0005 or x_2 <= 0.2225 ) ) ),( ( ( x_2 <= 0.0391 or x_2 <= 0.0397 ) or ( x_0 <= 0.2997 and x_0 <= 0.2997 ) ) and ( ( x_0 <= -0.0397 and x_0 <= -0.0397 ) and ( x_0 <= -0.0397 and x_2 <= 0.0397 ) ) ),( x_2 <= 0.0226 and x_0 <= -0.1223 ),"eventually[2,19] ( ( x_2 <= -0.014 and eventually[18,inf] ( always[8,19] ( x_0 <= 0.9532 ) ) ) )"
22,"( ( ( ( x_0 >= -0.5332 or x_0 >= -0.6332 ) or ( x_0 >= -0.5332 or x_1 >= -0.6332 ) ) or ( ( x_1 >= -0.3632 or x_1 >= -0.6232 ) and ( x_1 >= -0.3632 or x_1 >= -0.6232 ) ) ) until[1,inf] ( ( ( x_1 >= -0.3332 or x_1 >= -0.3632 ) or ( x_1 >= -0.3632 or x_1 >= -0.4232 ) ) or ( ( x_1 >= -0.3632 or x_1 >= -0.3632 ) or ( x_1 >= -0.3632 until[2,inf] x_1 >= -0.4332 ) ) ) )",( ( x_0 <= -1.0005 or x_0 <= -0.0055 ) or ( x_0 <= -0.0055 or x_1 <= 1.0005 ) ),"( ( ( ( x_0 <= -0.0331 or x_0 >= -0.0397 ) or ( x_0 >= -0.0397 or x_0 >= -0.0397 ) ) or ( ( x_0 >= -0.0397 or x_0 >= -0.0397 ) or ( x_0 >= -0.0391 or x_0 >= -0.0391 ) ) ) until[10,22] ( ( ( x_0 >= -0.0397 or x_1 >= -0.0397 ) or ( x_0 >= -0.0391 or x_0 >= -0.0391 ) ) or ( ( x_0 >= -0.0397 or x_0 >= -0.0391 ) or ( x_0 >= -0.0391 or x_0 >= -0.0393 ) ) ) )","( x_0 <= -1.2999 or ( x_1 >= -0.2999 until[19,21] x_0 <= 1.0929 ) )","( x_2 <= -1.4828 or always[2,11] ( x_2 >= 1.215 ) )"
23,"( ( ( ( x_2 >= -0.633 or x_0 >= -0.663 ) or ( x_0 >= -0.5632 and x_0 >= -0.6632 ) ) and ( ( x_1 >= -0.6632 or x_2 >= -0.6632 ) or ( x_1 >= -0.6632 until[2,inf] x_2 >= -0.6332 ) ) ) until[1,inf] ( ( ( x_1 >= -0.6332 or x_1 >= -0.6632 ) or ( x_1 >= -0.4632 or x_1 >= -0.4632 ) ) or ( ( x_1 >= -0.3632 or x_1 >= -0.4632 ) or ( x_1 >= -0.1632 and x_1 >= -0.466 ) ) ) )","( ( ( ( x_2 <= -0.7055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0055 or x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) ) until[15,25] ( ( ( x_0 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.0055 or x_2 <= -0.0055 ) ) or ( ( x_0 <= -0.1555 or x_2 <= -0.0505 ) or ( x_0 <= -0.0555 or x_2 <= -0.0555 ) ) ) )","( ( ( ( x_2 >= -0.0331 or x_2 >= -0.0367 ) or ( x_2 >= -0.0367 or x_0 >= -0.0397 ) ) until[11,23] ( ( x_0 >= -0.6697 or x_2 >= -0.0397 ) or ( x_0 >= -0.0397 or x_2 >= -0.0391 ) ) ) until[10,22] ( ( ( x_1 >= -0.0397 or x_1 >= -0.0397 ) or ( x_0 >= -0.0391 or x_2 >= -0.0397 ) ) or ( ( x_0 >= -0.0397 or x_0 >= -0.0397 ) or ( x_0 >= -0.0391 or x_2 >= -0.0397 ) ) ) )",( x_2 >= -1.2999 and ( x_2 >= -1.0929 or x_2 >= 1.0299 ) ),"( eventually ( ( x_2 >= -0.8033 until[8,16] x_2 <= 1.1183 ) ) until ( x_0 <= 0.1554 or x_1 <= 1.0773 ) )"
24,( ( ( x_2 >= 0.5332 or x_2 >= 0.5332 ) and ( x_2 >= -0.5332 or x_2 >= 0.6332 ) ) and ( ( x_2 >= 0.6332 or x_1 >= -0.6332 ) or ( x_2 >= -0.6332 or x_2 >= 0.6362 ) ) ),"( ( ( x_2 >= -0.0055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 or x_2 >= -0.0005 ) ) until[1,10] ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.0555 or x_2 >= -0.0555 ) ) )",( ( ( x_2 >= 0.5661 or x_2 >= -0.5691 ) or ( x_2 >= 0.6697 or x_2 >= -0.6697 ) ) and ( ( x_0 >= -0.6697 or x_2 >= -0.6697 ) or ( x_0 >= -0.6697 and x_2 >= -0.0697 ) ) ),not ( x_2 <= 0.7626 ),"( not ( x_2 <= 0.7741 ) until[8,16] ( eventually[15,21] ( x_0 >= 0.7168 ) or x_0 >= -2.1913 ) )"
25,"( ( ( x_2 >= -0.633 or x_2 >= -0.663 ) and ( x_1 >= -0.663 or x_2 >= -0.663 ) ) until[2,23] ( ( x_1 >= -0.6632 or x_2 >= -0.6632 ) or ( x_1 >= -0.6632 or x_1 >= -0.6662 ) ) )","( ( ( ( x_2 >= -0.5055 or x_2 <= -0.0005 ) or ( x_2 >= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 >= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) ) until[1,15] ( ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.0005 or x_2 >= -0.0005 ) ) or ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.0005 or x_2 >= -0.0095 ) ) ) )","( ( ( ( x_2 >= -0.6631 or x_2 >= -0.6667 ) or ( x_2 >= -0.6667 and x_2 >= -0.6667 ) ) until[10,29] ( ( x_2 >= -0.6667 or x_2 >= -0.6697 ) or ( x_2 >= -0.0697 and x_2 >= -0.0691 ) ) ) until[1,19] ( ( ( x_1 >= -0.6667 or x_2 >= -0.0696 ) or ( x_2 >= -0.0696 and x_2 >= -0.069 ) ) or ( ( x_2 >= -0.096 and x_2 >= -0.0696 ) and ( x_0 >= -0.099 and x_2 >= -0.099 ) ) ) )","( x_2 >= -0.7929 until[1,10] x_1 >= -0.8929 )","not ( eventually[12,21] ( ( x_2 <= -1.0052 or x_1 <= -1.0742 ) ) )"
