,Formula
48,"not ( ( not ( always[24,32] ( x_0 <= 0.8915 ) ) or ( ( x_3 >= 0.3318 and x_2 >= -0.3452 ) or ( x_1 <= 0.2884 until[21,inf] x_1 >= -0.0026 ) ) ) )"
49,"( always ( ( ( x_3 <= -0.0957 and x_3 <= 0.714 ) or eventually[13,29] ( x_1 >= 0.2497 ) ) ) until[24,33] ( ( ( x_3 >= -1.272 or x_1 <= -0.7887 ) until[19,23] not ( x_1 >= -1.1933 ) ) or always[14,22] ( not ( x_2 <= -0.9279 ) ) ) )"
50,"( eventually[34,36] ( not ( eventually[21,34] ( x_0 <= 2.8067 ) ) ) and not ( ( always[16,30] ( x_0 >= -1.0353 ) until[25,28] ( x_2 <= -1.1961 and x_2 <= -0.7588 ) ) ) )"
51,"eventually[4,27] ( eventually[9,19] ( ( eventually[10,16] ( x_0 >= 0.0061 ) and not ( x_2 >= 1.3505 ) ) ) )"
52,"not ( not ( eventually[4,23] ( not ( x_3 <= -0.0578 ) ) ) )"
53,"not ( always[0,10] ( ( ( x_0 >= -1.3508 until[26,36] x_3 <= 0.5097 ) and eventually[12,18] ( x_2 >= 2.0342 ) ) ) )"
54,"always[9,26] ( ( not ( ( x_3 <= 0.4599 until[13,19] x_1 >= 1.3355 ) ) or ( ( x_3 <= 0.2493 until[17,25] x_0 >= 1.66 ) and eventually[8,36] ( x_3 >= 0.1369 ) ) ) )"
55,"always[34,36] ( always[29,inf] ( not ( not ( x_0 <= -0.3232 ) ) ) )"
56,"eventually[12,21] ( ( ( eventually[19,34] ( x_2 <= 0.3545 ) and ( x_2 >= -0.3181 until[6,20] x_2 <= -0.6786 ) ) and eventually[31,34] ( not ( x_3 >= 0.3654 ) ) ) )"
57,"always[15,36] ( eventually[1,inf] ( eventually[2,32] ( always ( x_1 >= -0.0826 ) ) ) )"
58,"not ( ( always ( ( x_2 <= -0.2761 until x_1 >= -0.6369 ) ) and ( ( x_1 <= 1.72 until[7,11] x_0 >= -0.1535 ) and ( x_3 <= -0.0155 until[16,20] x_3 >= -1.2798 ) ) ) )"
59,"not ( ( ( not ( x_1 >= 0.4365 ) or always[32,inf] ( x_3 >= 2.3892 ) ) and ( ( x_0 <= -0.9851 until[16,35] x_1 >= 0.7295 ) or ( x_3 >= -0.2868 until[9,inf] x_3 >= 1.1453 ) ) ) )"
60,"( ( ( not ( x_3 >= 1.8963 ) or eventually[24,36] ( x_0 >= -1.738 ) ) until[8,inf] ( eventually[6,24] ( x_3 >= 0.1419 ) or ( x_2 >= -0.832 or x_3 >= 0.6833 ) ) ) and ( eventually ( ( x_1 <= 0.2182 and x_2 <= -0.4333 ) ) until[8,22] ( ( x_3 <= -0.0499 and x_0 >= 0.356 ) or not ( x_2 >= 1.4044 ) ) ) )"
61,"( not ( eventually ( eventually[26,inf] ( x_0 >= -1.5358 ) ) ) or not ( not ( ( x_1 >= -1.4556 or x_1 <= 0.0168 ) ) ) )"
62,"not ( ( eventually[26,29] ( not ( x_2 <= 0.867 ) ) or ( ( x_1 <= -1.1229 or x_1 >= -1.8088 ) and not ( x_2 <= -1.3134 ) ) ) )"
63,"( ( ( eventually[24,30] ( x_1 <= 0.1198 ) until[30,inf] ( x_1 <= -1.7501 and x_0 >= -0.6555 ) ) until[8,20] not ( not ( x_3 <= -0.5609 ) ) ) and always[26,inf] ( ( ( x_0 >= 0.8485 or x_0 <= -0.457 ) and ( x_3 <= -0.6509 until[27,33] x_1 >= -0.4836 ) ) ) )"
64,"( eventually[18,35] ( ( always[19,23] ( x_1 <= 0.0028 ) or ( x_3 <= -1.4978 until x_1 <= -0.7808 ) ) ) or ( always[8,19] ( eventually[3,21] ( x_0 >= -0.3523 ) ) until ( ( x_1 <= 0.0736 until[27,30] x_3 >= 0.4915 ) and not ( x_0 >= -0.5976 ) ) ) )"
65,"( ( ( ( x_1 >= -0.709 until x_1 <= 1.7894 ) until[7,10] ( x_1 >= -0.2662 and x_1 <= 0.1502 ) ) until[15,28] not ( ( x_2 <= 1.1497 and x_3 >= -0.5361 ) ) ) or ( ( not ( x_2 <= -0.2931 ) or always[21,27] ( x_0 >= 0.6547 ) ) and always[5,36] ( ( x_0 >= -1.0654 until[4,inf] x_1 <= -1.2281 ) ) ) )"
66,"( always[0,inf] ( eventually[9,21] ( eventually[21,inf] ( x_2 <= 0.9789 ) ) ) until[11,15] ( always[7,inf] ( ( x_0 <= 1.6071 or x_2 <= -0.3477 ) ) and ( ( x_0 >= -0.3526 until[14,18] x_2 <= 0.8516 ) or ( x_1 >= 0.9111 or x_0 >= 1.162 ) ) ) )"
67,"( not ( not ( eventually[5,19] ( x_3 <= -1.5875 ) ) ) until[26,inf] eventually[7,20] ( eventually[9,36] ( ( x_2 >= -1.5236 and x_3 >= 0.1066 ) ) ) )"
68,"always[5,8] ( ( eventually[22,36] ( ( x_2 <= 0.4158 and x_0 <= 0.7538 ) ) or not ( ( x_3 <= 2.0742 and x_0 >= -0.0336 ) ) ) )"
69,"( ( eventually[4,13] ( eventually[9,36] ( x_2 <= -0.9361 ) ) or eventually ( not ( x_3 >= -0.2834 ) ) ) and ( ( ( x_1 >= 1.2705 until[5,8] x_0 >= -1.1971 ) or ( x_0 >= 1.2141 and x_3 >= -0.2619 ) ) and ( always ( x_2 >= 0.4817 ) and ( x_2 <= -0.6472 or x_3 >= -1.6128 ) ) ) )"
70,"always[31,34] ( eventually[33,inf] ( eventually[29,inf] ( ( x_0 <= -0.8333 and x_1 >= -1.3028 ) ) ) )"
71,"always[19,32] ( eventually[15,35] ( ( always[15,19] ( x_0 >= 0.5773 ) and eventually[24,inf] ( x_3 <= -1.6969 ) ) ) )"
72,"( eventually[7,32] ( always[2,18] ( always ( x_3 >= -0.2031 ) ) ) until not ( eventually[30,33] ( ( x_2 >= 1.2324 or x_0 <= 1.8374 ) ) ) )"
73,"not ( not ( eventually[31,inf] ( ( x_3 <= 1.8824 or x_0 <= -0.9936 ) ) ) )"
74,"always[2,27] ( ( always[18,25] ( not ( x_1 <= -0.663 ) ) until[18,27] not ( not ( x_0 <= -0.6516 ) ) ) )"
75,"( always[13,27] ( eventually[32,34] ( not ( x_3 >= 1.3047 ) ) ) until ( ( not ( x_3 >= -0.4588 ) until[34,36] not ( x_1 >= 0.86 ) ) or not ( ( x_3 <= 1.2607 until x_2 >= -1.2715 ) ) ) )"
76,"( always[9,24] ( always[24,30] ( ( x_3 >= -0.6628 or x_0 >= 0.5517 ) ) ) or always[4,32] ( ( always ( x_2 >= 0.5555 ) or not ( x_2 >= 1.8388 ) ) ) )"
77,"not ( ( ( ( x_3 <= 0.485 or x_1 >= 1.004 ) and ( x_2 >= -0.8595 or x_0 >= 0.7396 ) ) until[10,19] always[5,34] ( ( x_0 <= -0.0449 until[10,30] x_3 <= 1.2735 ) ) ) )"
78,"( ( eventually[25,30] ( ( x_0 >= 0.0968 or x_3 <= -0.8933 ) ) or not ( ( x_1 >= 0.2188 and x_1 <= 0.871 ) ) ) or ( not ( ( x_1 <= 0.5838 or x_0 >= 0.0647 ) ) until[6,16] ( eventually[13,18] ( x_0 <= -0.2215 ) until[15,18] ( x_0 <= -0.3571 until x_0 <= 1.9245 ) ) ) )"
79,"( not ( always[29,31] ( always[20,23] ( x_1 >= -0.6528 ) ) ) or eventually ( ( ( x_3 >= 1.3369 and x_2 <= -0.0435 ) until not ( x_1 >= 2.5049 ) ) ) )"
80,"( ( ( ( x_0 >= 0.2776 or x_3 >= 0.1864 ) and ( x_2 <= 0.4133 and x_2 <= -0.4033 ) ) or ( always ( x_0 >= -0.1347 ) until[29,33] eventually[10,27] ( x_1 <= 3.7509 ) ) ) or not ( ( ( x_1 >= 0.7005 or x_3 <= 1.9635 ) until[8,27] eventually[28,34] ( x_3 >= -0.4028 ) ) ) )"
81,"( eventually[17,31] ( not ( ( x_2 >= -0.6261 or x_2 <= 0.4314 ) ) ) and eventually[28,33] ( ( eventually[11,24] ( x_2 <= 0.5533 ) until[5,inf] not ( x_2 >= -0.21 ) ) ) )"
82,"not ( not ( ( ( x_1 <= -0.784 until[5,17] x_1 <= -0.0335 ) or ( x_2 <= 0.4353 and x_3 >= 1.0683 ) ) ) )"
83,"( ( eventually[24,29] ( always[4,33] ( x_1 >= 1.8957 ) ) until[31,35] ( ( x_3 >= 1.8369 or x_0 <= 1.6918 ) until ( x_1 <= 3.492 and x_0 <= -0.6621 ) ) ) or ( eventually[20,inf] ( not ( x_3 >= -0.4736 ) ) or eventually[27,inf] ( always[13,29] ( x_0 >= -0.0828 ) ) ) )"
84,eventually ( ( not ( not ( x_1 <= -2.0007 ) ) or not ( ( x_1 >= -0.0736 or x_3 >= -0.4602 ) ) ) )
85,"eventually[33,35] ( eventually[3,inf] ( always[7,9] ( not ( x_2 >= -0.0644 ) ) ) )"
86,"eventually[29,35] ( ( always ( not ( x_0 <= 0.6346 ) ) or not ( ( x_3 >= -0.5502 and x_2 <= -0.1324 ) ) ) )"
87,"always[24,28] ( always[0,19] ( ( not ( x_1 >= -0.2176 ) or not ( x_1 <= 1.6509 ) ) ) )"
88,"eventually[15,inf] ( eventually[6,inf] ( eventually[18,25] ( always[14,29] ( x_1 <= 0.5138 ) ) ) )"
89,"always[4,33] ( eventually ( not ( ( x_3 >= -0.9747 until[14,20] x_3 <= -0.1852 ) ) ) )"
90,"( always[25,33] ( ( ( x_3 >= 0.6796 and x_1 <= 0.4363 ) and always[8,inf] ( x_3 <= -0.2174 ) ) ) or eventually[5,14] ( always[19,27] ( ( x_1 <= 0.0283 until x_2 <= -1.2246 ) ) ) )"
91,"not ( eventually[22,26] ( not ( always[23,26] ( x_0 <= 0.1045 ) ) ) )"
92,"( always[25,35] ( eventually[17,25] ( ( x_2 >= -2.137 until[2,9] x_0 >= -1.6399 ) ) ) or eventually[4,35] ( ( eventually[25,31] ( x_2 <= 1.2285 ) and ( x_2 <= 0.9552 until[17,19] x_2 <= -0.001 ) ) ) )"
93,"not ( eventually[9,32] ( ( ( x_1 >= 0.2951 and x_2 >= -0.6858 ) until[27,inf] always[16,inf] ( x_2 <= -0.4628 ) ) ) )"
94,"( ( always[28,35] ( not ( x_1 <= -1.2749 ) ) or ( ( x_3 >= 1.8358 until[1,24] x_2 >= -1.8971 ) and always[19,25] ( x_1 <= 1.0344 ) ) ) and eventually[27,33] ( eventually[20,31] ( eventually ( x_0 >= 0.6808 ) ) ) )"
95,"not ( not ( ( eventually[24,33] ( x_0 >= 0.2548 ) and ( x_3 <= 0.0592 and x_0 <= -0.7562 ) ) ) )"
96,"eventually[20,28] ( not ( ( ( x_3 >= 0.2621 or x_2 >= -1.5171 ) until[32,36] always[27,inf] ( x_0 >= -0.074 ) ) ) )"
97,"( always[22,34] ( ( ( x_1 >= -0.6868 and x_3 >= -0.7481 ) until[17,25] ( x_1 >= 0.3871 and x_2 >= -1.0247 ) ) ) or ( ( ( x_3 >= -0.4278 or x_2 >= 1.7662 ) or ( x_2 <= 0.0018 or x_0 >= 0.8709 ) ) until[27,inf] ( ( x_1 <= 0.8764 or x_2 <= 1.2953 ) until[4,inf] ( x_1 <= -0.4717 until[17,27] x_1 <= 0.2277 ) ) ) )"
98,"eventually[24,inf] ( ( eventually[0,17] ( not ( x_0 <= 0.4003 ) ) or eventually[28,35] ( always[24,inf] ( x_2 <= 0.6824 ) ) ) )"
99,"eventually[0,36] ( ( not ( not ( x_2 <= -1.0155 ) ) or ( ( x_1 >= 0.139 and x_2 >= -1.4145 ) and ( x_3 >= -0.4717 or x_3 >= -0.0565 ) ) ) )"
100,"( ( ( ( x_1 <= -1.7816 or x_2 >= -1.7325 ) or ( x_2 <= -0.0452 or x_2 >= -0.5272 ) ) and ( always[14,26] ( x_1 >= 0.4174 ) and eventually[33,35] ( x_0 <= 0.126 ) ) ) or eventually[17,27] ( not ( eventually[29,34] ( x_2 <= -0.2667 ) ) ) )"
101,"( ( ( ( x_1 >= 0.6962 and x_1 >= -0.2434 ) or ( x_2 <= 0.2841 until[32,35] x_1 >= 0.4649 ) ) and not ( ( x_3 >= 2.8349 and x_2 <= 0.0392 ) ) ) or not ( ( eventually[15,24] ( x_3 >= 1.8519 ) or ( x_2 >= -1.0063 or x_3 <= -0.7032 ) ) ) )"
102,"not ( not ( ( ( x_0 >= -1.3778 and x_1 <= -0.375 ) until[22,33] always[18,36] ( x_0 >= -0.5113 ) ) ) )"
103,"not ( ( ( ( x_1 <= 1.2396 until[12,34] x_3 <= -1.3836 ) or ( x_2 <= 0.7944 until x_1 >= -1.9051 ) ) until[3,8] eventually[14,24] ( eventually[27,inf] ( x_1 <= 1.8884 ) ) ) )"
104,"( not ( ( ( x_1 >= 0.6818 until[14,22] x_2 >= 0.6235 ) or eventually ( x_3 >= -0.8083 ) ) ) and ( not ( ( x_1 <= -1.5979 until[10,inf] x_2 <= 2.0615 ) ) until[1,inf] ( not ( x_2 <= 0.0073 ) and ( x_1 >= -0.4381 or x_3 >= -0.6217 ) ) ) )"
105,"( ( ( not ( x_3 >= 0.494 ) or eventually[34,36] ( x_0 >= 0.2388 ) ) and not ( ( x_1 >= -0.4291 or x_0 >= -0.8825 ) ) ) until[6,10] ( ( not ( x_0 <= 1.1361 ) until[17,23] eventually[0,inf] ( x_2 <= 1.3957 ) ) and eventually[20,24] ( eventually[15,31] ( x_3 >= 0.4143 ) ) ) )"
106,"eventually[0,30] ( always[7,21] ( ( not ( x_2 <= -1.4344 ) until ( x_1 <= -0.4045 or x_2 >= -0.7777 ) ) ) )"
107,"not ( ( eventually[29,36] ( ( x_0 <= -0.4405 until x_3 >= -0.891 ) ) and eventually[34,36] ( ( x_0 >= 0.345 and x_3 >= 0.362 ) ) ) )"
108,"not ( eventually[22,27] ( ( ( x_0 >= 0.072 until[4,inf] x_0 >= -1.42 ) and ( x_2 >= 1.0765 or x_3 >= -0.424 ) ) ) )"
109,"( not ( ( not ( x_3 >= -0.1703 ) and eventually[7,34] ( x_3 >= 1.1324 ) ) ) until[26,inf] ( always[0,inf] ( ( x_1 <= 1.9232 and x_0 <= -0.0381 ) ) and eventually[16,inf] ( ( x_2 >= -1.2363 until[16,20] x_1 >= 0.4068 ) ) ) )"
110,"( ( not ( always[4,10] ( x_1 <= -1.967 ) ) or not ( ( x_1 <= -0.3088 until[26,31] x_3 <= 1.1127 ) ) ) and always[14,36] ( not ( always[25,28] ( x_1 <= 1.5249 ) ) ) )"
111,"( ( ( ( x_1 >= -0.5337 and x_1 <= -2.5922 ) and ( x_1 >= -0.0034 or x_2 <= -0.6482 ) ) until[0,16] ( not ( x_1 <= 2.0417 ) and ( x_2 >= -0.3527 and x_2 <= 0.9216 ) ) ) until[23,inf] always[3,33] ( not ( ( x_2 >= -0.107 or x_0 <= -0.3951 ) ) ) )"
112,"( ( ( ( x_3 <= 0.4712 or x_2 >= 1.7686 ) and always ( x_3 >= 0.3646 ) ) or ( ( x_1 <= -0.5659 until[8,inf] x_0 <= 0.1871 ) until[13,25] ( x_3 >= -0.8581 or x_0 >= 0.4958 ) ) ) and ( ( always ( x_3 >= 1.9924 ) or not ( x_0 <= 1.3783 ) ) or not ( ( x_2 <= 1.1094 until[24,29] x_1 <= -2.9558 ) ) ) )"
113,"not ( ( not ( eventually[19,22] ( x_2 <= -1.2189 ) ) until[13,inf] ( ( x_2 >= -0.5902 or x_3 >= -1.3555 ) and always[14,18] ( x_0 <= -0.1325 ) ) ) )"
114,"always[19,22] ( ( eventually[14,20] ( ( x_0 <= 0.1095 or x_2 <= -1.0305 ) ) until[18,inf] eventually[29,31] ( not ( x_2 >= -0.9486 ) ) ) )"
