,Gold Formula,Generated Formula
21,"always[13,17] ( eventually[18,21] ( ( x_2 <= 1.4207 and always[8,14] ( always[13,16] ( ( always[8,inf] ( not ( x_1 <= 0.2468 ) ) and ( ( not ( not ( x_0 >= 1.0672 ) ) or ( not ( x_1 >= 0.6248 ) until eventually[5,20] ( x_0 <= -0.0722 ) ) ) and ( x_0 <= -1.1636 and always[10,16] ( x_2 >= 0.182 ) ) ) ) ) ) ) ) )","( ( x_1 >= -0.032 until[19,21] ( x_2 >= 0.222 until[19,21] ( x_0 <= -0.922 until[12,14] x_1 >= 0.222 ) ) ) until[19,21] always[19,21] ( ( x_1 >= 0.032 until[12,14] ( x_0 <= -1.032 until[12,14] x_2 >= 0.222 ) ) ) )"
22,"always[18,inf] ( x_1 <= 0.133 )","always[19,inf] ( x_1 <= 0.155 )"
23,"eventually[4,21] ( x_2 >= -0.5761 )","eventually[11,17] ( ( x_2 >= -0.592 or ( x_2 >= -0.522 until[11,13] x_2 >= -0.012 ) ) )"
24,"( ( x_1 >= 0.4506 and eventually[14,16] ( ( always[4,7] ( ( x_0 <= -0.4116 and ( not ( x_2 <= 0.0964 ) until[9,15] always[10,18] ( ( x_0 >= 0.3361 and ( ( x_0 <= -0.8666 until[13,15] x_1 >= -0.9045 ) or ( ( x_1 <= -1.1141 until[7,20] eventually[0,18] ( x_2 >= 0.6772 ) ) and eventually[7,16] ( x_1 >= -0.0444 ) ) ) ) ) ) ) ) until x_0 <= 0.7897 ) ) ) or not ( ( ( always[14,21] ( eventually[1,14] ( ( always[15,inf] ( x_1 <= -0.3826 ) until always[3,20] ( x_1 <= 1.9814 ) ) ) ) until[10,inf] x_1 <= 0.4503 ) until[5,8] x_0 <= -2.0578 ) ) )","( x_1 >= -0.2229 or ( x_0 >= -1.9329 or ( x_1 >= -0.223 until[13,17] x_1 >= -0.2222 ) ) )"
25,"( always[16,21] ( eventually[0,3] ( eventually[11,20] ( always[1,inf] ( x_2 >= -0.3657 ) ) ) ) until ( ( x_2 >= 0.7364 and x_0 >= 1.3761 ) and x_1 >= 0.0648 ) )","( ( x_1 >= -0.213 until[18,21] x_0 >= 1.322 ) until[16,21] x_2 >= 0.2227 )"
26,"( always[10,14] ( eventually[7,inf] ( ( x_2 <= -0.2794 and x_1 >= 0.8351 ) ) ) and x_1 <= -0.9864 )","( ( x_1 <= -0.8223 until[10,13] x_1 >= 0.7229 ) and ( x_2 <= -0.2229 or ( x_1 <= -0.8222 until[14,17] ( x_1 <= -0.822 until[14,17] x_1 <= -0.9222 ) ) ) )"
27,"always ( ( not ( x_2 <= 0.4682 ) and ( eventually[4,inf] ( x_2 <= -0.3204 ) or ( always[3,17] ( x_2 <= 0.4818 ) or ( eventually[18,20] ( eventually[0,10] ( x_0 <= -0.1556 ) ) or x_2 >= -0.4851 ) ) ) ) )","always[19,21] ( always[10,18] ( ( x_2 >= 0.4923 until[11,13] x_0 >= -1.6623 ) ) )"
28,not ( x_1 <= 0.8592 ),"( x_1 >= 0.832 until[2,17] ( x_0 >= -0.323 or x_0 <= -0.313 ) )"
29,"( ( ( eventually[18,21] ( x_1 >= 1.3064 ) or ( ( x_0 <= -0.0658 until[19,21] eventually[6,20] ( x_0 >= -1.2251 ) ) or x_0 <= 0.2607 ) ) until x_1 >= 0.063 ) or x_2 <= -1.3851 )","( ( x_0 <= -0.093 until[16,21] x_1 >= 0.332 ) or ( x_1 >= -0.033 until[16,21] x_2 <= 0.333 ) )"
30,"always[10,13] ( x_2 <= -0.5566 )","( x_2 <= -0.562 until[19,21] x_2 <= -0.532 )"
31,"always[11,21] ( x_1 >= -0.9938 )","always[15,17] ( x_1 >= -0.9632 )"
32,"eventually[12,21] ( x_2 <= -0.886 )","eventually[16,20] ( x_2 <= -0.8722 )"
33,"eventually[16,20] ( ( x_2 <= 0.7438 and ( x_1 >= 0.2469 or always[4,15] ( x_2 <= 1.1812 ) ) ) )","eventually[19,21] ( x_2 <= 0.7723 )"
34,( x_0 <= 0.0797 and ( x_0 <= -1.1497 until x_0 >= -1.5557 ) ),( x_0 <= -1.192 and x_0 >= -1.1921 )
35,"eventually[11,19] ( ( eventually[5,9] ( x_1 <= 0.1292 ) until[14,inf] ( not ( eventually[0,4] ( x_2 >= 0.4241 ) ) until ( not ( eventually ( ( ( x_0 <= -0.7431 until[15,17] x_0 <= 0.6099 ) or always[5,8] ( x_0 >= -0.2061 ) ) ) ) and always[8,14] ( x_1 <= 1.951 ) ) ) ) )","( ( ( x_2 <= 0.772 until[19,21] x_0 <= -0.1923 ) until[19,21] ( x_1 <= 0.322 until[19,21] x_0 <= -0.1923 ) ) until[19,21] ( x_0 <= -0.132 until[19,21] x_1 <= 0.333 ) )"
36,( x_2 >= -0.3079 and eventually ( ( always ( x_2 >= 1.1121 ) or x_2 <= 0.9868 ) ) ),( x_2 >= -0.319 and ( x_1 <= 0.222 or x_0 <= -0.3322 ) )
37,"( always[12,21] ( eventually[9,17] ( x_2 <= 0.9475 ) ) until[11,20] x_2 >= -0.2667 )","( x_2 >= -0.333 until[16,21] x_2 <= 0.4332 )"
38,always ( x_2 <= 0.4009 ),"always[19,inf] ( x_2 <= 0.396 )"
39,"eventually[19,21] ( eventually[14,19] ( x_1 >= 0.1765 ) )","eventually[19,21] ( eventually[15,18] ( x_1 >= 0.1962 ) )"
40,( x_2 <= -0.7438 and not ( eventually ( x_0 <= -0.787 ) ) ),"( ( x_2 <= -0.712 until[16,21] x_0 >= -0.322 ) or ( x_0 >= -0.322 until[16,21] ( x_2 <= -0.712 until[16,21] x_2 <= -0.112 ) ) )"
41,"( ( always[16,20] ( x_2 >= -1.2469 ) or x_2 >= -0.1503 ) and not ( x_0 >= 0.1904 ) )",( x_0 <= 0.132 and ( x_2 >= -0.332 or x_2 >= -0.3322 ) )
42,"( x_1 <= -1.8577 and ( ( x_1 >= 0.7231 or not ( x_2 >= 0.7644 ) ) until[9,15] x_2 <= -0.0407 ) )",( x_1 <= -1.7739 and x_2 <= -0.223 )
43,( not ( eventually ( x_0 >= 1.464 ) ) or x_1 >= 1.0118 ),"always[19,21] ( always[18,21] ( ( x_0 <= 1.392 or ( x_1 >= -0.732 until[16,18] x_1 >= -0.9522 ) ) ) )"
44,"( x_2 >= 1.5895 until[18,20] not ( x_1 >= 0.1946 ) )","( x_1 <= 0.213 until[16,20] x_2 >= 1.652 )"
45,not ( x_2 >= -0.1942 ),"( x_2 <= -0.192 or ( x_2 <= -0.192 until[17,21] x_2 <= -0.192 ) )"
46,"( x_0 <= -1.4387 and not ( ( x_1 >= 1.8496 until[6,12] x_0 >= -1.5353 ) ) )","( x_0 <= -1.463 until[1,16] ( x_1 <= -0.932 or ( x_1 <= -0.2222 until[12,14] x_1 <= -0.2222 ) ) )"
47,"always[7,16] ( x_1 <= 1.016 )","always[1,17] ( x_1 <= 1.0119 )"
48,"always[4,6] ( not ( ( x_0 <= -0.6932 and x_0 >= 0.4712 ) ) )",( x_0 >= 0.423 or x_0 >= -0.6923 )
49,"always[19,21] ( x_2 >= -1.7682 )","( ( x_1 <= -0.632 until[16,21] x_2 >= -1.722 ) or ( ( x_1 <= -0.032 until[16,21] x_2 <= -0.2122 ) until[16,21] x_2 >= -0.222 ) )"
50,"eventually[17,21] ( x_1 <= -0.3341 )","eventually[17,20] ( x_1 <= -0.3192 )"
51,"( not ( ( eventually[16,20] ( ( x_0 >= -0.3656 and ( not ( ( x_0 >= -0.4306 until[15,19] ( x_1 >= 0.9703 and ( ( x_1 >= 0.8631 until[11,14] x_2 >= -0.3938 ) and eventually[1,12] ( x_1 >= -1.021 ) ) ) ) ) until[14,19] x_1 <= -0.7007 ) ) ) or x_0 >= -0.5829 ) ) and always[13,17] ( not ( x_2 <= -1.0674 ) ) )","( x_0 <= -0.562 until[6,17] ( x_2 >= -0.9122 or ( x_1 <= -0.032 until[12,17] x_1 <= -0.0122 ) ) )"
52,not ( x_0 >= 1.1683 ),"( x_0 <= 1.162 or ( x_1 <= -0.322 until[17,21] x_0 <= 0.013 ) )"
53,"eventually[6,17] ( x_2 <= 0.9309 )","eventually[10,17] ( ( x_2 <= 0.912 or ( x_1 >= -0.213 until[16,21] x_2 <= 0.211 ) ) )"
54,"eventually[9,18] ( always ( x_2 >= -0.9087 ) )","always[19,inf] ( x_2 >= -0.912 )"
55,"always[1,9] ( x_1 >= -0.0524 )","( x_1 >= -0.082 until[1,17] x_1 >= -0.082 )"
56,"( x_0 <= -1.2572 until[12,21] x_0 <= 1.498 )","( x_0 <= -1.2923 until[18,21] ( x_1 <= -0.962 or x_0 <= -0.2223 ) )"
57,not ( x_2 <= -1.0729 ),"( x_2 >= -1.062 or ( x_2 >= -0.013 until[16,18] x_2 >= -0.212 ) )"
58,"( x_2 >= -0.5885 until[4,21] ( not ( x_0 >= -1.0254 ) until[3,9] x_1 <= -1.7016 ) )","( x_1 <= -1.633 until[10,14] ( x_0 <= -0.333 until[10,14] x_0 <= -0.4333 ) )"
59,"not ( eventually[15,20] ( ( x_0 <= -1.8594 until[4,inf] x_0 <= 0.7441 ) ) )","always[17,21] ( ( x_0 >= -1.872 or ( x_1 <= -0.032 until[11,17] x_2 <= 0.2222 ) ) )"
60,"not ( not ( always[8,11] ( always[1,13] ( x_2 >= -1.8243 ) ) ) )","always[15,17] ( ( x_2 >= -1.772 or ( ( x_1 <= -0.222 until[11,13] x_1 <= -0.222 ) until[16,19] x_2 <= -0.222 ) ) )"
61,( x_1 <= -0.8303 or x_1 <= 1.2175 ),"( x_1 <= 1.219 or ( x_0 >= -0.321 until[16,18] ( x_1 <= 0.112 until[11,14] x_1 <= 0.113 ) ) )"
62,"always[0,11] ( ( ( x_1 <= -0.7264 and ( ( always[4,14] ( x_1 >= -0.8752 ) until[9,inf] always[14,20] ( not ( always[10,inf] ( ( always[18,inf] ( x_0 <= -0.5999 ) or not ( ( ( x_2 >= 1.8245 or x_1 >= -0.903 ) or not ( x_2 >= 0.1556 ) ) ) ) ) ) ) ) until x_2 <= 1.9262 ) ) and ( x_0 <= -0.4724 until[15,20] x_0 <= -0.5426 ) ) )","( ( x_1 <= -0.623 until[16,21] x_0 <= -0.633 ) until[11,19] x_0 <= -0.6533 )"
63,not ( x_1 >= -0.24 ),not ( x_1 >= -0.263 )
64,"eventually[10,inf] ( x_2 >= 0.1845 )","eventually[19,inf] ( x_2 >= 0.196 )"
65,"not ( ( x_2 <= 0.958 until[10,13] ( x_1 >= 0.8611 or eventually[6,inf] ( ( x_2 >= -0.9609 or x_1 <= 0.1178 ) ) ) ) )",( ( x_1 >= 0.7339 and x_2 >= 0.813 ) or x_1 >= -1.1331 )
66,"( ( not ( ( x_1 >= -1.1477 and eventually[14,21] ( x_0 >= 0.6359 ) ) ) or x_0 <= 0.4394 ) until[1,19] x_2 <= 0.3729 )","( x_2 <= 0.432 until[10,15] x_0 <= 0.7322 )"
67,( x_2 >= 1.2939 or x_1 <= 1.5713 ),"( x_1 <= 1.5521 or ( ( x_2 >= -0.222 until[11,13] x_2 >= -0.013 ) and ( x_1 <= 0.112 until[11,14] x_2 <= 0.2112 ) ) )"
68,"( x_2 <= 1.6355 and ( x_1 <= -1.22 and ( x_0 <= 1.2723 until[0,15] x_0 <= 0.5272 ) ) )",( x_1 <= -1.1923 and x_0 <= 0.3339 )
69,"( eventually[0,inf] ( x_2 <= -1.3547 ) and ( ( ( x_2 >= 0.3569 or x_1 <= -0.3649 ) until[1,6] always[0,14] ( x_0 <= 1.1498 ) ) and ( not ( not ( x_1 >= -0.0692 ) ) or eventually[0,4] ( x_1 <= -0.7882 ) ) ) )","( ( x_2 <= -1.322 until[16,21] x_2 <= -0.222 ) until[16,21] ( x_2 <= -0.032 or ( x_0 <= -0.222 until[16,21] x_2 <= -0.222 ) ) )"
70,"not ( always[4,21] ( ( x_1 >= 0.1823 until[4,17] x_1 >= 1.784 ) ) )","always[17,20] ( ( x_1 <= 1.7529 or ( x_2 <= -0.013 until[11,13] x_2 <= -0.2123 ) ) )"
71,"eventually[2,15] ( x_2 >= 0.2954 )","eventually[5,12] ( x_2 >= 0.2961 )"
72,( x_1 >= 1.4192 or x_2 <= -0.2959 ),"( x_2 <= -0.319 or ( x_1 >= 0.332 until[11,13] x_1 >= 0.332 ) )"
73,"( ( always ( eventually[3,18] ( x_0 >= 0.1649 ) ) and ( ( x_0 <= 1.1037 or ( x_2 >= -0.8063 and ( x_1 >= -1.7822 or not ( always[9,15] ( x_0 >= -0.4145 ) ) ) ) ) or always[14,21] ( not ( ( ( x_2 <= -0.4344 or not ( ( x_2 >= 1.708 and x_0 >= 0.73 ) ) ) until[4,16] always[17,20] ( not ( x_2 <= -0.6365 ) ) ) ) ) ) ) and eventually[2,inf] ( eventually[8,21] ( ( eventually[13,21] ( x_1 >= 0.8943 ) and x_1 <= 0.9483 ) ) ) )","( ( x_1 >= -0.1129 until[19,21] x_0 >= 0.032 ) until[19,21] eventually[16,18] ( eventually[16,19] ( x_1 >= 0.8022 ) ) )"
74,"not ( eventually[4,11] ( x_2 <= -1.558 ) )","( x_2 >= -1.562 or ( ( x_1 <= -0.222 until[16,18] x_1 <= -0.2122 ) until[16,19] x_2 >= -0.2122 ) )"
75,"( x_1 >= 0.545 until[19,21] always[2,6] ( x_0 <= 0.3006 ) )","( x_0 <= 0.092 until[19,21] x_1 >= 0.562 )"
76,"always[7,10] ( always[6,16] ( ( ( always[11,inf] ( x_2 >= 1.8306 ) until[2,20] ( x_2 <= 0.8349 until[18,20] x_0 <= -0.0345 ) ) or x_1 <= -1.1997 ) ) )","( ( x_1 <= -1.323 or ( x_1 <= -0.213 until[11,13] x_1 <= -0.213 ) ) until[17,21] ( x_1 <= -0.213 or x_1 <= -0.213 ) )"
77,"( x_0 >= -0.2405 until[16,20] ( not ( always ( always[8,21] ( x_0 >= 1.5396 ) ) ) and x_1 <= -0.5295 ) )","( x_0 >= -0.093 until[19,21] x_1 <= -0.543 )"
78,"not ( eventually ( ( always ( ( always[4,inf] ( x_1 >= -0.3303 ) or ( ( always[0,18] ( x_2 >= 0.6815 ) until[16,18] eventually[0,6] ( always[9,18] ( x_1 <= -0.2108 ) ) ) and always[0,7] ( x_0 >= 0.0546 ) ) ) ) until[10,21] ( eventually[9,17] ( x_0 >= 0.6804 ) and ( x_1 <= 1.3044 and not ( not ( x_0 <= -1.2708 ) ) ) ) ) ) )",( x_0 >= 0.633 or x_0 >= -1.1923 )
79,( x_2 <= 0.6246 until not ( x_1 >= -1.2094 ) ),"( eventually[11,13] ( eventually[11,13] ( x_1 <= -1.052 ) ) until[19,21] x_2 <= 0.652 )"
80,"not ( always[12,18] ( ( not ( eventually[6,15] ( ( x_0 >= -1.6435 until[17,inf] ( ( ( x_0 >= 1.7993 and eventually[17,inf] ( not ( x_0 >= 0.4209 ) ) ) until[6,inf] x_1 >= -1.483 ) or x_2 <= 0.4611 ) ) ) ) and eventually[18,inf] ( not ( x_2 >= 0.5065 ) ) ) ) )","( ( ( x_2 <= 0.333 until[13,17] x_2 >= -0.333 ) or x_1 <= -0.332 ) until[16,21] ( x_0 >= -0.332 or ( x_0 >= -0.333 until[13,17] x_2 <= -0.033 ) ) )"
81,"( ( eventually[10,19] ( not ( always ( x_1 <= 0.4355 ) ) ) and ( x_1 >= -0.2921 until x_0 >= -0.662 ) ) and x_1 >= -1.0225 )","( eventually[12,17] ( x_1 >= 0.362 ) until[19,21] x_0 >= -0.812 )"
82,"( always[13,18] ( not ( x_2 >= 0.9591 ) ) or always[0,inf] ( ( x_0 >= -0.7328 or x_2 >= 0.6586 ) ) )","( ( x_2 <= 0.913 or x_0 >= -0.513 ) or ( x_0 >= -0.3133 until[18,20] ( x_2 <= -0.313 or x_2 <= -0.3133 ) ) )"
83,( x_0 <= 1.0026 and x_0 >= 0.3768 ),"( x_0 >= 0.433 until[1,19] x_0 <= 0.4923 )"
84,"eventually ( ( eventually[14,19] ( x_2 >= -0.1783 ) until[19,inf] not ( x_1 <= -1.8518 ) ) )","eventually[12,inf] ( ( x_2 >= -0.2919 until[16,18] x_1 >= -1.662 ) )"
85,"not ( always ( ( always ( x_0 <= -0.8672 ) and ( x_0 >= 0.9219 and always[16,inf] ( x_2 <= -0.2746 ) ) ) ) )","( ( ( x_0 <= -0.0139 or x_2 >= -0.322 ) or ( x_0 <= -0.0139 or ( x_0 <= -0.0133 until[18,20] x_2 >= -0.2229 ) ) ) or eventually[17,inf] ( ( x_0 <= 0.922 or x_0 >= -0.9122 ) ) )"
86,"( x_1 >= -0.4546 until[3,5] eventually ( ( ( not ( x_1 <= 0.872 ) or x_1 <= -0.728 ) until[8,17] always[17,inf] ( always[5,13] ( always[11,inf] ( eventually[15,18] ( x_1 >= -1.2113 ) ) ) ) ) ) )","( ( x_2 >= -0.032 until[19,21] x_0 >= 0.322 ) or always[15,inf] ( x_1 >= 0.6072 ) )"
87,"eventually[15,18] ( not ( eventually[1,5] ( always[1,inf] ( x_1 >= -0.1085 ) ) ) )","eventually[11,inf] ( x_1 <= -0.092 )"
88,"eventually[19,21] ( not ( x_1 <= -1.3247 ) )","always[19,21] ( x_1 >= -1.3729 )"
89,"eventually[7,11] ( x_1 >= -0.277 )","( x_1 >= -0.292 until[17,21] ( x_1 >= -0.232 or x_1 >= -0.232 ) )"
90,"( x_1 <= 0.2499 or ( ( ( always[16,21] ( not ( eventually[0,6] ( eventually ( ( ( ( x_2 >= 0.1414 until x_0 <= 0.7886 ) or x_2 >= 0.5751 ) and x_2 >= 0.6252 ) ) ) ) ) and ( ( eventually[6,11] ( eventually[5,13] ( x_2 <= 0.5987 ) ) or not ( x_0 <= 0.7467 ) ) until not ( x_0 <= -1.266 ) ) ) and always[0,inf] ( eventually[5,16] ( x_1 <= 0.8078 ) ) ) until not ( ( ( x_2 >= -0.0448 until[17,19] x_2 >= -0.0403 ) or x_0 <= 0.8623 ) ) ) )","( x_1 <= 0.292 or ( x_2 <= -0.313 until[18,20] x_1 <= 0.313 ) )"
91,not ( x_1 >= 2.1942 ),"( x_1 <= 2.1221 or ( x_2 <= -0.0132 until[11,13] x_2 <= -0.2133 ) )"
92,"eventually[18,21] ( x_2 >= -0.592 )","eventually[18,21] ( x_2 >= -0.5922 )"
93,"eventually[13,21] ( x_0 <= 0.728 )","eventually[17,21] ( ( x_0 <= 0.732 or ( x_1 <= -0.222 and x_0 <= 0.712 ) ) )"
94,"( ( x_1 <= -0.6639 or ( eventually[16,20] ( x_2 <= 1.6472 ) or ( always[1,16] ( x_0 <= -1.313 ) or ( ( x_2 <= -0.8463 or ( x_1 <= -1.4076 or x_2 <= -0.8844 ) ) until[15,21] always[18,inf] ( x_1 >= -0.722 ) ) ) ) ) and ( ( ( x_0 <= -1.9751 and x_1 >= 0.1134 ) until[9,13] ( x_2 >= 0.627 and always[1,19] ( eventually[9,14] ( always[6,19] ( x_0 >= -1.6283 ) ) ) ) ) or ( x_0 <= -0.7502 until[5,15] eventually[5,12] ( eventually[4,7] ( ( ( x_1 <= 0.3443 until[19,21] ( x_0 <= 0.8606 and x_0 >= -1.124 ) ) and always[14,inf] ( x_1 >= 0.6765 ) ) ) ) ) ) )","( ( x_1 >= 0.622 until[16,21] x_0 <= -0.922 ) until[11,19] x_1 >= 0.7227 )"
95,"( ( eventually[1,inf] ( x_2 >= 0.5403 ) until[12,21] ( ( ( always[6,14] ( not ( ( eventually[6,inf] ( x_2 >= 1.6419 ) or x_0 >= -1.1912 ) ) ) and always[18,20] ( x_0 >= 0.0181 ) ) and x_0 <= 0.7527 ) until[1,11] always[14,21] ( eventually[4,inf] ( x_1 >= 2.2652 ) ) ) ) or always ( x_0 >= -0.0058 ) )",always ( x_0 >= 0.041 )
96,"( x_1 >= -0.2752 until[13,inf] ( not ( eventually[0,inf] ( ( x_0 <= 1.2357 and ( always[1,18] ( x_0 <= 2.3139 ) or x_1 >= 1.5887 ) ) ) ) and x_1 <= -1.152 ) )","( ( x_1 <= -0.722 until[19,21] x_0 >= 1.2723 ) until[19,21] eventually[16,inf] ( x_1 <= -0.7722 ) )"
97,"( eventually[16,inf] ( x_2 <= 0.9832 ) until x_0 <= -1.0884 )","( ( x_2 <= 0.222 or x_2 <= -0.222 ) until[18,21] eventually[13,16] ( x_0 <= -0.933 ) )"
98,"( not ( always[13,17] ( x_0 <= -0.3121 ) ) or ( always[14,21] ( x_0 >= 1.1408 ) and x_1 <= -0.5033 ) )","eventually[12,17] ( x_0 >= -0.319 )"
99,"( eventually[7,20] ( ( ( not ( x_2 >= -0.1965 ) or ( x_0 <= 0.6817 and x_2 <= 0.2546 ) ) or ( ( ( always[19,21] ( ( ( x_1 >= -2.1609 and x_0 <= -0.3508 ) and x_0 >= 0.5441 ) ) and x_1 <= -0.0447 ) or x_0 <= -0.8144 ) or ( always ( ( x_0 >= 1.419 and not ( not ( eventually[4,inf] ( x_1 <= 1.5794 ) ) ) ) ) or ( x_1 >= 1.4981 or always[10,21] ( always[1,9] ( ( x_2 >= 0.7468 or ( x_2 <= -0.421 or eventually ( x_1 <= 1.0521 ) ) ) ) ) ) ) ) ) ) and not ( always[11,inf] ( ( ( ( x_2 <= -1.3112 until[12,15] x_2 <= -1.4465 ) and x_0 >= -0.5115 ) until[6,inf] not ( x_2 >= 0.9412 ) ) ) ) )","( ( x_1 <= -0.322 until[16,21] x_2 >= -0.222 ) or ( ( x_0 <= -0.222 until[11,13] x_1 <= 0.2122 ) until[16,inf] x_2 >= -0.222 ) )"
100,"( always[10,13] ( ( ( x_2 <= -0.8826 and ( ( always[3,12] ( eventually[16,18] ( x_0 >= -0.8223 ) ) and always[2,inf] ( always[15,21] ( ( ( x_2 <= -2.1748 until[5,13] always[10,13] ( x_2 <= 2.2224 ) ) or x_2 <= -1.3332 ) ) ) ) or x_1 >= -0.9774 ) ) until[0,18] x_2 >= 0.1792 ) ) and ( ( ( x_2 <= 1.2526 and ( ( not ( eventually[15,inf] ( x_1 <= -0.1498 ) ) until[7,17] x_1 <= -0.3626 ) until[16,19] eventually[7,10] ( x_1 >= -0.9159 ) ) ) or ( x_0 <= -0.6279 and eventually[1,17] ( x_0 >= 0.7631 ) ) ) and always ( x_1 >= 0.2113 ) ) )","( ( ( x_2 <= -0.722 until[18,21] x_1 >= 0.322 ) until[16,21] x_2 >= -0.822 ) until[19,21] x_0 >= -0.2222 )"
101,"( ( ( x_2 <= -0.7526 until[6,16] x_2 <= -0.4807 ) or ( eventually[18,21] ( x_1 <= -0.1459 ) and always[18,21] ( x_1 <= 0.19 ) ) ) until[19,21] always[10,21] ( ( x_2 >= 0.2723 until[9,11] x_0 <= -0.093 ) ) )","( ( x_1 <= 0.322 until[19,21] x_0 <= -0.132 ) until[19,21] always[16,18] ( ( x_2 >= 0.322 until[12,17] x_0 <= -0.322 ) ) )"
102,"( ( eventually[5,9] ( eventually ( x_0 <= -1.8162 ) ) and x_0 >= 0.9037 ) until[1,17] ( eventually[3,9] ( ( not ( x_0 >= 1.6082 ) or x_2 <= 0.6938 ) ) or eventually[3,18] ( x_2 >= -0.1451 ) ) )","( x_0 >= -1.633 until[16,21] x_0 >= 0.9227 )"
103,"( x_2 >= -0.2804 until[9,18] ( not ( x_1 <= 0.8662 ) and x_2 >= 0.5456 ) )","( x_1 >= 0.732 until[16,20] x_2 >= 0.412 )"
104,"( ( x_1 <= 0.1664 until[11,20] not ( x_1 <= -0.2919 ) ) and eventually[14,18] ( x_2 >= -0.5379 ) )","( ( x_1 <= 0.032 until[16,21] x_1 <= -0.032 ) and x_2 >= -1.1321 )"
105,not ( x_2 >= -0.4162 ),( x_2 <= -0.419 and ( x_2 <= -0.432 or x_2 <= -0.362 ) )
106,( x_2 <= -1.4798 and x_0 <= -1.5506 ),"( x_2 <= -1.632 until[10,13] x_0 <= -1.6339 )"
